[-3.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, -5.0]
[5.0, -4.0, -1.0, -1.0, -2.0, 1.0, 0.0, -254.0]
[-8.0, 0.0, 2.0, -1.0, -1.0, 0.0, 0.0, -4.0]
[-4.0, 0.0, 3.0, -2.0, -1.0, 2.0, 0.0, -67.0]
[-6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
[21.0, 1.0, -29.0, 1.0, 2.0, -1.0, -1.0, -7.0]


[-3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, -1.0]
[-4.0, 0.0, -1.0, 2.0, 2.0, 2.0, 1.0, -15.0]

[10.0, -1.0, 2.0, 1.0, 2.0, 0.0, 0.0, -9.0]
[-2.0, -1.0, -1.0, 0.0, 1.0, 0.0, -1.0, 2.0]

[3.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
[5.0, 2.0, -1.0, -1.0, -3.0, 0.0, 0.0, -1.0]
[0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, -5.0]
[41.0, -2.0, 5.0, -4.0, -1.0, 1.0, -3.0, -6.0]
[0.0, -1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0]
[268.0, 0.0, 1.0, 2.0, 1.0, -1.0, -2.0, 6.0]
[2.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, 2.0]
[-3.0, -1.0, -2.0, -1.0, -2.0, 0.0, -2.0, -16.0]
[4.0, -2.0, -3.0, -3.0, 0.0, 0.0, 1.0, -2.0]
[11.0, -3.0, -3.0, 0.0, 2.0, 2.0, 4.0, 4.0]
[-23.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, -1.0]
[17.0, 2.0, -2.0, 1.0, 0.0, 1.0, 1.0, -6.0]
[-1.0, -1.0, 2.0, -1.0, -1.0, 1.0, 1.0, -28.0]
[2.0, 3.0, 10.0, -11.0, 2.0, -1.0, 2.0, -44.0]
[0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 2.0, -78.0]
[-2.0, 1.0, -1.0, 0.0, -1.0, -1.0, -1.0, 13.0]
[0.0, 1.0, 10.0, 1.0, -2.0, -1.0, -4.0, 33.0]
[-143.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0]
[5.0, -7.0, -7.0, 0.0, 0.0, 3.0, -1.0, 10.0]
[-6.0, -1.0, -1.0, 1.0, 0.0, 1.0, 0.0, -12.0]
[24.0, -4.0, -1.0, 2.0, 1.0, 0.0, 0.0, -11.0]
[5.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, -3.0]
[-2.0, 0.0, 2.0, -1.0, 0.0, 1.0, 0.0, 1.0]
[-4.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, -29.0]
[2.0, 1.0, -5.0, -2.0, 0.0, -2.0, 0.0, -37.0]
[-7.0, 0.0, -1.0, 1.0, -1.0, 1.0, 0.0, -2.0]
[-5.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, -7.0]
[-2.0, 1.0, -2.0, 5.0, 2.0, 2.0, 0.0, -24.0]
[-14.0, 1.0, 0.0, 1.0, -1.0, -1.0, -12.0, 0.0]
[-4.0, 1.0, 70.0, 0.0, -2.0, -4.0, 4.0, 39.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -2.0]
[-5.0, -3.0, -4.0, -1.0, 1.0, 1.0, 0.0, -9.0]
[-4.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0, 3.0]
[4.0, 1.0, 1.0, 5.0, -4.0, 0.0, 0.0, -12.0]

[2.0, 4.0, 0.0, 0.0, -4.0, -1.0, 2.0, 26.0]
[-3.0, 0.0, 0.0, 1.0, 0.0, -1.0, 0.0, 1.0]


[235.0, -3.0, -3.0, -1.0, -2.0, 1.0, -2.0, 0.0]
[-2.0, -1.0, 0.0, 1.0, 0.0, 0.0, 1.0, -9.0]
[-7.0, 0.0, 2.0, -1.0, 0.0, 0.0, 0.0, -1.0]
[14.0, -13.0, 1.0, 0.0, -2.0, 0.0, 2.0, 11.0]

[7.0, -2.0, 3.0, 0.0, -1.0, -1.0, 0.0, -6.0]

[146.0, 0.0, 1.0, -1.0, 0.0, -1.0, -1.0, -3.0]
[0.0, -1.0, 11.0, -4.0, 0.0, 0.0, 2.0, 9.0]
[-6.0, 3.0, -2.0, -5.0, -1.0, -2.0, 0.0, -13.0]
[-2.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -3.0]
[-3.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -3.0]
[1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 1.0, -7.0]
[0.0, -3.0, 0.0, -1.0, 0.0, 0.0, -1.0, -4.0]
[4.0, -2.0, 2.0, 0.0, 0.0, -1.0, 0.0, 11.0]
[2.0, 2.0, -5.0, 4.0, -2.0, 0.0, -2.0, -20.0]

[11.0, -6.0, 106.0, 5.0, 2.0, 0.0, 1.0, -48.0]
[8.0, 0.0, -3.0, 1.0, 0.0, 0.0, 0.0, -10.0]
[290.0, 89.0, 82.0, 93.0, 2.0, 0.0, -3.0, -64.0]
[-1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, -3.0]
[-5.0, -2.0, -6.0, -1.0, -1.0, -1.0, 0.0, -11.0]

[11.0, 1.0, 8.0, -4.0, 0.0, 0.0, 0.0, -30.0]
[-2.0, -1.0, -1.0, -1.0, 0.0, 1.0, 0.0, -1.0]
[-5.0, 0.0, 0.0, -2.0, 1.0, -2.0, 0.0, -44.0]
[-1.0, 0.0, 4.0, 0.0, -1.0, 0.0, 1.0, -5.0]
[16.0, 3.0, 3.0, 4.0, 1.0, -1.0, -1.0, -1.0]
[0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 1.0, 32.0]
[263.0, -2.0, -4.0, -5.0, 2.0, -1.0, 0.0, -251.0]

[262.0, -1.0, 0.0, 1.0, 1.0, -1.0, -3.0, 22.0]
[-8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]
[1.0, 1.0, -18.0, 4.0, -2.0, -2.0, -2.0, 16.0]
[2.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.0]
[2.0, 0.0, -1.0, -1.0, 0.0, 2.0, -2.0, -12.0]
[127.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0]
[6.0, -5.0, -1.0, 56.0, -1.0, 0.0, 0.0, -71.0]
[4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, -2.0]
[14.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0]
[9.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0]
[41.0, 1.0, 11.0, 3.0, -3.0, 0.0, 2.0, -8.0]
[1.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, -3.0]
[2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, -13.0]
[282.0, -2.0, 0.0, 6.0, 2.0, 0.0, 6.0, 0.0]
[3.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0]

[307.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 16.0]
[21.0, -1.0, 9.0, 1.0, 0.0, 2.0, 2.0, -9.0]
[-12.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -81.0]
[0.0, -2.0, 4.0, 2.0, 1.0, -1.0, 1.0, -20.0]
[7.0, -1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 11.0]
[15.0, -2.0, 4.0, 5.0, -1.0, 0.0, 2.0, -1.0]
[-220.0, 1.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0]
[-36.0, 1.0, 4.0, -6.0, 0.0, -2.0, -2.0, -4.0]
[5.0, 0.0, 0.0, -4.0, 0.0, 0.0, 0.0, -4.0]
[53.0, 1.0, -4.0, -15.0, -1.0, 0.0, -2.0, 4.0]
[101.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0]
[6.0, -2.0, 6.0, -1.0, 0.0, -1.0, 2.0, -2.0]
[-6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, -49.0]
[-2.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]
[4.0, -1.0, -1.0, -5.0, -2.0, 2.0, -1.0, -241.0]
[-14.0, 1.0, 3.0, -7.0, -3.0, 0.0, 0.0, 7.0]
[-4.0, 1.0, 0.0, 0.0, -1.0, 1.0, 0.0, -1.0]

[0.0, 0.0, -1.0, -3.0, 0.0, 0.0, 0.0, -3.0]
[2.0, 2.0, 14.0, -4.0, -1.0, 4.0, 0.0, -12.0]
[5.0, -2.0, -2.0, -1.0, -1.0, 0.0, 0.0, 0.0]
[22.0, -3.0, -1.0, -1.0, 1.0, 1.0, 0.0, -42.0]
[-2.0, 1.0, 0.0, 1.0, -1.0, 1.0, 0.0, -1.0]
[-18.0, 2.0, 4.0, 5.0, 2.0, 0.0, 0.0, -6.0]
[1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 3.0]
[253.0, 4.0, 2.0, -3.0, -2.0, 0.0, 0.0, -12.0]
[1.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -3.0]
[9.0, 2.0, 0.0, -2.0, -2.0, 0.0, 0.0, -16.0]
[1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 8.0]
[15.0, 0.0, -2.0, 0.0, -2.0, -1.0, 2.0, 4.0]
[-160.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -2.0]
[2.0, 5.0, -7.0, -3.0, -2.0, 1.0, 2.0, -21.0]
[0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 1.0, -4.0]
[2.0, -2.0, -1.0, -4.0, 0.0, 0.0, -1.0, 50.0]
[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 10.0]
[79.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 13.0]
[-1.0, -1.0, 0.0, 0.0, 0.0, -1.0, 0.0, -3.0]
[-3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[-1.0, 1.0, 1.0, -2.0, 0.0, 0.0, 0.0, 2.0]
[13.0, 2.0, 1.0, -1.0, 1.0, 0.0, 0.0, -1.0]
[-1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.0]
[20.0, 0.0, -4.0, 0.0, 0.0, 0.0, -1.0, 1.0]
[1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, -2.0]
[6.0, -1.0, 1.0, 0.0, -1.0, 0.0, -1.0, -1.0]
[-1.0, -1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 5.0]

[15.0, -3.0, 7.0, 0.0, 3.0, 2.0, -4.0, -3.0]
[4.0, -2.0, 1.0, -3.0, -2.0, 1.0, -1.0, -6.0]

[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 23.0]
[9.0, -2.0, 9.0, 1.0, 0.0, -2.0, 1.0, -9.0]
[3.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0]

[-6.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, -5.0]
[3.0, 8.0, 5.0, 5.0, -1.0, 1.0, 0.0, -49.0]
[3.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[-69.0, -29.0, -23.0, -16.0, -7.0, -2.0, -2.0, 14.0]
[8.0, 1.0, 4.0, 1.0, 0.0, -1.0, -1.0, -2.0]
[26.0, -1.0, 15.0, 0.0, -2.0, -4.0, 0.0, -13.0]

[-2.0, 0.0, 1.0, 0.0, 3.0, 0.0, -2.0, -9.0]
[-1.0, 1.0, 0.0, -1.0, 0.0, 0.0, 0.0, -7.0]
[7.0, -2.0, 0.0, 3.0, -1.0, 0.0, 0.0, -279.0]
[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, -3.0]
[-19.0, 3.0, 5.0, 1.0, 1.0, -2.0, 0.0, -37.0]
[5.0, 1.0, -1.0, 1.0, -1.0, 0.0, 0.0, -3.0]
[6.0, 3.0, -4.0, 4.0, 1.0, 0.0, 0.0, -13.0]
[86.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -5.0]
[2.0, 2.0, -2.0, 2.0, -5.0, 2.0, 2.0, -6.0]
[-45.0, -1.0, 0.0, 0.0, 0.0, 1.0, 1.0, -8.0]
[11.0, 1.0, -2.0, 4.0, -1.0, -89.0, 1.0, -22.0]
[2.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 1.0]
[9.0, 6.0, 9.0, -6.0, -1.0, 0.0, -2.0, -276.0]
[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, -2.0]
[-15.0, 3.0, -3.0, -2.0, -1.0, 0.0, -4.0, 4.0]
[5.0, 1.0, 1.0, 0.0, 0.0, 0.0, -1.0, -1.0]
[30.0, 0.0, 0.0, -4.0, 2.0, -1.0, -2.0, 21.0]
[-5.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, -1.0]
[-10.0, 0.0, 2.0, -1.0, -1.0, 1.0, 0.0, 4.0]
[0.0, 1.0, 0.0, 0.0, 0.0, -1.0, -1.0, 9.0]
[2.0, 5.0, 4.0, -2.0, 0.0, 0.0, -2.0, 5.0]
[-3.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 13.0]
[16.0, 3.0, -1.0, 0.0, 0.0, 0.0, -2.0, 12.0]
[-4.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 7.0]
[2.0, 2.0, -2.0, 0.0, 2.0, -1.0, 0.0, 5.0]
[-2.0, -1.0, 1.0, -1.0, 0.0, 1.0, 0.0, 0.0]
[14.0, 2.0, -8.0, -2.0, -1.0, 2.0, -5.0, 0.0]

[-1.0, 1.0, -1.0, -1.0, 0.0, 0.0, -2.0, 9.0]


[1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 0.0, -3.0]
[34.0, 10.0, 4.0, -9.0, 1.0, 0.0, 2.0, -8.0]
[2.0, -2.0, 1.0, 1.0, 0.0, 0.0, 0.0, -1.0]
[24.0, -2.0, -5.0, 4.0, -1.0, 0.0, -1.0, -34.0]
[7.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, -189.0]
[-92.0, -1.0, 1.0, -4.0, -1.0, 0.0, 0.0, 2.0]
[4.0, -5.0, -1.0, -2.0, -1.0, -1.0, 0.0, -2.0]
[-36.0, 0.0, 1.0, 0.0, -2.0, -1.0, 0.0, -146.0]
[1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 2.0]
[-3.0, -1.0, 24.0, -2.0, 0.0, 1.0, 1.0, 14.0]
[-6.0, -1.0, -1.0, 2.0, 0.0, 0.0, 1.0, 48.0]
[3.0, 0.0, 3.0, 1.0, -1.0, 1.0, 0.0, 17.0]
[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -1.0, -2.0]
[7.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, -11.0]
[-5.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0]
[-11.0, 0.0, -8.0, 0.0, -1.0, -1.0, 0.0, 11.0]
[2.0, 0.0, 1.0, 1.0, 1.0, 0.0, -1.0, -1.0]
[3.0, -1.0, 10.0, 0.0, 2.0, 0.0, -1.0, 11.0]
[-1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 3.0]
[6.0, -1.0, 3.0, 4.0, 0.0, -1.0, 0.0, -68.0]
[25.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]
[109.0, -2.0, -3.0, 0.0, 2.0, 0.0, -2.0, -4.0]
[-1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 0.0, -4.0]
[17.0, -3.0, 0.0, -3.0, -3.0, 0.0, -1.0, -11.0]
[-4.0, -2.0, 2.0, 0.0, 0.0, 0.0, -1.0, 39.0]
[11.0, -10.0, 3.0, -3.0, -1.0, -4.0, 0.0, -2.0]

[-11.0, 2.0, 2.0, 0.0, -1.0, 2.0, -2.0, 21.0]

[-8.0, -16.0, 5.0, 8.0, 1.0, 1.0, -4.0, -34.0]

[8.0, 8.0, 8.0, 7.0, -1.0, 0.0, -2.0, -16.0]
[-2.0, 0.0, 2.0, -2.0, 0.0, 0.0, 0.0, 1.0]



[-5.0, -1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 5.0]
[1.0, -1.0, 0.0, 0.0, -2.0, 2.0, 1.0, -24.0]
[6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.0]
[254.0, 4.0, 3.0, 2.0, -4.0, 0.0, 4.0, 10.0]
[82.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
[7.0, 0.0, 0.0, 9.0, 1.0, -1.0, -2.0, -7.0]
[7.0, -3.0, 3.0, -5.0, -1.0, 0.0, -2.0, -13.0]
[24.0, -9.0, 6.0, -6.0, -1.0, 0.0, -3.0, -20.0]
[-249.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0]
[4.0, -1.0, 4.0, -1.0, 0.0, 0.0, 2.0, -6.0]
[-3.0, 0.0, -1.0, 1.0, 0.0, 0.0, 1.0, -6.0]
[1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 2.0, 21.0]
[1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.0]
[-2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -3.0]
[28.0, -3.0, 6.0, 6.0, -1.0, 0.0, 0.0, -2.0]
[1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.0]
[1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -2.0]

[11.0, -2.0, 0.0, 4.0, 1.0, 0.0, -2.0, -4.0]
[222.0, -1.0, 4.0, -2.0, 0.0, 0.0, 1.0, -10.0]

[188.0, 4.0, 4.0, 2.0, -1.0, -1.0, 0.0, -14.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]
[21.0, 0.0, -1.0, -1.0, 2.0, 0.0, -3.0, -9.0]



[-3.0, 2.0, 4.0, 2.0, -2.0, 0.0, 0.0, -28.0]
[24.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 2.0]
[91.0, 4.0, -4.0, -1.0, -1.0, -1.0, -3.0, 4.0]
[0.0, -1.0, 1.0, 2.0, -1.0, 0.0, 0.0, -5.0]
[21.0, 6.0, -2.0, 1.0, 1.0, -1.0, -1.0, -15.0]
[3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 3.0]
[16.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, -50.0]
[-194.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]
[24.0, -1.0, -2.0, 4.0, 1.0, 0.0, -2.0, -1.0]
[2.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0]
[6.0, 3.0, -3.0, -2.0, 0.0, 0.0, 0.0, -4.0]
[6.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 7.0]
[1.0, -1.0, 19.0, -1.0, -2.0, 1.0, 2.0, -6.0]
[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, -10.0]
[-9.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
